103917-26-6	CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)O)C)C
103974-74-9	CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O
104-01-8	COC1=CC=C(C=C1)CC(=O)O
104-20-1	CC(=O)CCC1=CC=C(C=C1)OC
104-46-1	CC=CC1=CC=C(C=C1)OC
104-54-1	C1=CC=C(C=C1)C=CCO
104-55-2	C1=CC=C(C=C1)C=CC=O
104-61-0	CCCCCC1CCC(=O)O1
104-67-6	CCCCCCCC1CCC(=O)O1
104-98-3	C1=C(NC=N1)C=CC(=O)O
104012-37-5	CCC(=CC(=O)OC1CC(C2C(C1=C)CC(=O)C2C(C)OC(=O)C)C(C)C)C
104021-39-8	CC1=CCC(C2(C1C3C(C(C2)OC(=O)C(=C)C)C(=C)C(=O)O3)C)O
104022-83-5	CC1=CC(=C2C(=C1)OC3=C(C=C(C(=C3C2=O)C(=O)OC)O)Cl)O
104055-76-7	CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C)O)O)O)C)C)C2C1C)C(=O)O)C(=O)O
104055-79-0	CC1(CCC2=C(O1)C=C(C3=C2OC(CC3=O)C4=CC=CC=C4)O)C
104056-82-8	CC1=C(C(CCC1OC2C(C(C(C(O2)CO)O)O)O)(C)C)C(=O)O
1041-01-6	C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CC(C(=O)O)N)I
104112-82-5	C[N+]12CCC3=CC(=C(C=C3C1CC4=CC(=C(C=C4C2)OC)O)O)OC.[Cl-]
10417-94-4	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
104206-65-7	C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-]
1042143-83-8	CC(C)C1CCC2(C3CCC45CCCC4C2(C1N5C3)CCC6C7(CCC(C6(C(=O)O7)C)O)C)C
1043629-23-7	CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(CO)C(O)(O)O)C)C)C
104472-68-6	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)OC6C(C(C(C(O6)C)O)O)O)O)O)O)O)O
1044743-35-2	CC1=C(C(=C(C=C1OC)OC)C(=O)C=CC2=CC=C(C=C2)O)O
